Codigo,Sigla,Nome,Regente,sigla_grau,icursocod,nvcepocaexame
41559,mn,Métodos Numéricos,António Jorge Monteiro Neves,MI,"[8309, 8321]",1º SEMESTRE
41567,PROE,Propagação e Radiação de Ondas Electromagnéticas,,L1,"[8309, 8321]",2º SEMESTRE
41594,co,Comunicações Ópticas,,MI,"[8309, 9295]",1º SEMESTRE
41686,PEA,Projecto em Engenharia de Automação,,M2,9163,2º SEMESTRE
41687,MDLE,Mineração de Dados em Larga Escala,Alina Liliana Trifan,M2,9263,2º SEMESTRE
41722,SAVI,Sistemas Avançados de Visão Industrial,,M2,"[9163, 9294]",1º SEMESTRE
41726,VA,Veículos Autónomos,Vítor Manuel Ferreira dos Santos,M2,"[9163, 9283]",1º SEMESTRE
41757,mf,Mecânica dos Fluidos,Vítor António Ferreira da Costa,L1,8327,2º SEMESTRE
41769,MSF,Modelação de Sistemas Físicos,Gareth John Baxter,L1,8295,2º SEMESTRE
41770,RS,Redes e Serviços,António Manuel Duarte Nogueira,L1,8295,1º SEMESTRE
41773,fc,Física Computacional,Sofia da Conceição Veladas Latas,MI,"[8309, 8321]",2º SEMESTRE
41774,PAC,Programação e Algoritmos em Ciências,Osvaldo Manuel da Rocha Pacheco,M2,"[9281, 9294, 9263]",1º SEMESTRE
41779,SR,Software Robusto,Nuno Pedro de Jesus Silva,M2,"[9281, 9263]",1º SEMESTRE
41780,CA,Criptografia Aplicada,André Ventura da Cruz Marnôto Zúquete,M2,"[9281, 9283]",1º SEMESTRE
41781,AEV,Análise e Exploração de Vulnerabilidades,João Paulo Silva Barraca,MI,"[9281, 9294, 9263, 8240]",1º SEMESTRE
41782,SRC,Segurança em Redes de Comunicações,Paulo Jorge Salvador Serra Ferreira,MI,"[8240, 9281, 8316, 8321, 9291]",2º SEMESTRE
41783,IAA,Identificação Autenticação e Autorização,João Paulo Silva Barraca,M2,9281,2º SEMESTRE
41786,DOS,Direito e Organização da Segurança,Maria Cândida Guedes Machado Antunes de Oliveira,M2,9281,2º SEMESTRE
41787,AAS,Aprendizagem Aplicada à Segurança,Mário Luís Pinto Antunes,M2,"[9281, 9263, 8240]",1º SEMESTRE
41789,AFSC,Análise Forense de Sistemas Computacionais,Marco Paulo Gomes Mira,M2,"[9281, 9263]",1º SEMESTRE
